#node1,node2,combined_score
FOXO1,CTNNB1,0.601
GATA1,CREBBP,0.601
HDAC1,GATA2,0.601
TCF7L2,CEBPA,0.6
HSF1,CREBBP,0.6
SP1,TBP,0.6
GTF2B,SP1,0.597
GTF2B,YY1,0.597
SP3,CREBBP,0.596
JUN,ATF1,0.595
CREBBP,YY1,0.594
JUNB,YY1,0.593
YY1,JUND,0.593
ACTB,YY1,0.592
AR,ATF2,0.59
ARNT,SP1,0.59
FOS,ESR1,0.59
HDAC1,MEF2A,0.587
CTNNB1,EGR1,0.585
CTNNB1,SP1,0.582
HNF4A,ESR1,0.581
AR,HNF4A,0.579
AR,TGIF1,0.576
CREBBP,ELK1,0.576
CEBPB,ELK1,0.576
STAT5A,STAT3,0.575
MYC,RB1,0.575
IRF1,NFKB1,0.575
CEBPA,HNF1A,0.575
STAT4,STAT3,0.575
STAT3,ESR1,0.575
CREB1,MYC,0.575
CEBPB,CEBPG,0.575
AR,NFKB1,0.575
HNF4A,HNF1A,0.575
ETS1,NR3C1,0.575
AR,ESR1,0.575
CREB1,YY1,0.575
ETS2,TP53,0.575
E2F1,NFKB1,0.575
ACTB,ATF3,0.575
STAT5A,NR3C1,0.575
AR,REL,0.575
CEBPB,STAT6,0.575
STAT2,STAT6,0.575
CTNNB1,HIF1A,0.575
CREB1,MYOD1,0.575
AR,NR3C1,0.575
TFAP2A,MYC,0.575
GATA3,MYB,0.575
MYC,CEBPB,0.575
ARNT,RB1,0.575
RELA,FOS,0.575
TFAP2A,YY1,0.575
ATF3,CEBPB,0.575
FOXO1,HOXA5,0.575
STAT5A,NFKB1,0.575
MYB,CEBPB,0.575
YY1,RELB,0.575
STAT5A,CEBPB,0.575
ACTB,HNF1A,0.575
STAT5A,STAT5B,0.575
RELA,STAT6,0.575
SMAD4,HNF4A,0.575
FOXO1,CEBPB,0.575
HIF1A,RB1,0.575
STAT6,NFKB1,0.575
ATF3,NFKB1,0.575
MYC,YY1,0.575
GATA3,ETS2,0.575
MYC,HIF1A,0.575
FOXO1,PPARG,0.575
SMAD1,TP53,0.575
RELA,ATF4,0.575
FOS,NFATC3,0.575
FOS,HNF1A,0.575
STAT3,HNF1A,0.575
REL,TBP,0.575
MYC,ESR1,0.575
AR,SMAD4,0.575
RELA,IRF1,0.575
MEF2A,MYOD1,0.575
GTF2B,REL,0.575
ATF3,CREBBP,0.575
GATA2,STAT3,0.575
HSF1,STAT1,0.575
CREB1,CEBPB,0.575
CEBPA,MYC,0.575
ETS1,SP1,0.575
STAT6,TP53,0.575
NFATC4,CREBBP,0.575
MYC,NFYB,0.575
ARNT,ESR1,0.575
AR,TBP,0.575
ETS1,FOS,0.575
PPARG,NR3C1,0.575
E2F1,TP53,0.575
FOS,NFKB1,0.575
ETS1,STAT6,0.575
E2F6,E2F1,0.575
CEBPA,GATA2,0.575
CREB1,ATF1,0.575
RELA,PPARA,0.575
GATA1,STAT3,0.575
RELA,EGR1,0.575
SMAD1,STAT3,0.575
CEBPB,STAT3,0.575
RB1,STAT3,0.575
RB1,JUND,0.575
ETS2,NR3C1,0.575
SMAD4,ATF2,0.575
TP53,GAPDH,0.575
CEBPA,NFATC4,0.575
TFAP2A,RB1,0.575
STAT4,CREBBP,0.575
AR,GAPDH,0.575
CEBPB,TP53,0.575
STAT3,MYOD1,0.575
ETS1,ATF2,0.575
STAT1,ATF3,0.575
CEBPA,CREBBP,0.575
CEBPB,NFKB1,0.575
RELA,AR,0.575
ATF4,CEBPB,0.575
HDAC1,TBP,0.575
HNF4A,TP53,0.575
ETS2,STAT5B,0.575
GTF2F1,MYC,0.575
TFAP2A,SP1,0.575
MEF2A,SMAD4,0.575
TFAP2A,CTNNB1,0.575
CEBPB,CREBBP,0.575
FOS,ELK1,0.575
HSF1,CEBPB,0.575
E2F1,ESR1,0.575
SP3,YY1,0.575
ETS1,GATA3,0.575
ETS1,STAT5B,0.575
AR,HIF1A,0.575
STAT5A,MYB,0.575
MAX,HIF1A,0.573
MYC,ACTB,0.573
FOXO1,SMAD4,0.573
MYOD1,ESR1,0.573
FOXO1,FOXG1,0.573
STAT5A,CREBBP,0.571
ATF1,ESR1,0.571
CEBPA,JUN,0.571
NFYB,TBP,0.571
STAT5B,CREBBP,0.571
STAT2,STAT3,0.571
CEBPA,MAX,0.571
CEBPA,AR,0.569
FOS,STAT3,0.569
MYOD1,HAND1,0.569
GTF2B,HNF4A,0.569
CEBPB,NR3C1,0.569
GTF2F1,FOS,0.569
GTF2F1,JUN,0.569
SMAD4,JUND,0.569
TCF7L2,MYC,0.569
CEBPA,ESR1,0.569
ID1,ELK1,0.569
TGIF1,SMAD1,0.569
HDAC1,SMAD4,0.569
MYC,CTNNB1,0.569
JUN,SMAD4,0.569
AR,CEBPB,0.569
SMAD5,HDAC1,0.569
CEBPA,CTNNB1,0.569
HNF4A,TBP,0.569
PAX6,TBP,0.567
SMAD4,ESR1,0.567
HSF1,GTF2B,0.567
CEBPA,SMAD4,0.567
HDAC1,NFATC1,0.567
MYC,MYB,0.567
MAX,YY1,0.567
SMAD4,CREBBP,0.567
SP1,REL,0.567
PAX6,RB1,0.567
GTF2F1,ARNT,0.567
JUND,ESR1,0.565
AR,E2F1,0.565
SP3,CEBPB,0.565
CREBBP,ATF1,0.565
RELA,SP3,0.565
SMAD1,YY1,0.565
PPARG,RB1,0.565
TP53,RB1,0.565
JUNB,ESR1,0.565
JUN,TGIF1,0.565
CTNNB1,SMAD4,0.565
SMAD4,YY1,0.565
FOXO1,TP53,0.565
CTNNB1,ESR1,0.565
CREBBP,IRF1,0.563
GTF2B,ATF4,0.563
SMAD4,FOXG1,0.563
STAT1,STAT5B,0.563
ETS2,FOS,0.563
SP1,MYOD1,0.563
CEBPB,PPARG,0.563
MAX,SMAD4,0.563
PAX6,SMAD4,0.563
RELA,HIF1A,0.563
RELA,PPARG,0.563
SMAD5,PAX6,0.563
TFAP2A,TP53,0.563
TFAP2A,PPARG,0.563
NR3C1,TBP,0.563
ETS1,ETS2,0.563
ATF4,TBP,0.563
PAX6,SMAD1,0.563
NFATC2,EGR1,0.563
AR,ACTB,0.563
NFATC1,EGR1,0.563
RELA,ATF3,0.563
E2F1,SP3,0.563
FOXG1,SMAD1,0.563
ETS1,JUND,0.555
ETS2,JUND,0.51
ATF4,ATF2,0.5
CEBPA,ATF3,0.493
ATF3,FOS,0.483
ATF3,CEBPG,0.469
ID1,MYF5,0.463
E2F6,RB1,0.462
GATA2,SMAD4,0.46
JUN,CEBPG,0.441
HDAC1,JUND,0.436
SMAD1,HOXA5,0.409
HDAC1,EGR1,0.402
