AAF;IFN-alpha activation factor;AAF$CONS;6
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;HS$AFP_01;2;G000192
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;HS$ALBU_04;2;G000188
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;RAT$A1I3_03;6;G000698
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;RAT$AFEP_01;6;G000691
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;RAT$AFEP_07;6;G000691
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;AS$CEBP_01;2
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;CEBPB$CONS_01;6
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;CEBPB$CONS_02;6
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;HAPF1$CONS;6
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;HS$CRP_02;6;G000233
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;HS$FOS_19;1;G000218
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;HS$IL12P40_02;6;G002344
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;HS$IL6_03;3;G000316
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$CCL3_01;4;G001238
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$CCL3_02;4;G001238
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$CCL3_03;4;G001238
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$CCL3_04;4;G001238
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$CEBPA_04;2;G000490
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$IDB2_01;1;G006258
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$IL12P40_04;3;G002345
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$NOS2_06;6;G001073
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$ORM1_01;6;G000463
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;MOUSE$ORM1_02;6;G000463
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;NFIL6$CONS;6
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;RAT$GSTA3_03;3;G000749
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;RAT$ORM1_02;2;G000697
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;RAT$UCP1_01;1;G001236
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;RAT$UCP1_02;1;G001236
C/EBPbeta(p35);AGP/EBP,ANF-2,C/EBP beta,C/EBP-beta,C/EBPbeta,C/EBPbeta(p35),CCAAT Enhancer Binding Protein beta,CCAAT/enhance binding protein beta,CEBPB,CRP2,H-APF-2,IL-6DBP,interleukin-6-dependent binding protein,LAP,LAP1,liver-enriched activator protein,liver-enriched transcriptional activator,NF-IL6,NF-M,p35(C/EBPbeta),p35C/EBPbeta;RSV$RSV_04;6;G000815
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHR$CONS_02;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHRARNT$CONS_01;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHRARNT$CONS_02;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AS$AHRARNT_51;3
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;HS$CYP1A2_01;4;G019043
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;HS$HRAS_10;3;G000378
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$ALDH3A1_01;3;G004985
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYP1B1_01;4;G004911
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_01;5;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_02;5;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_03;4;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_04;5;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_05;5;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_06;5;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_08;4;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_11;4;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$IL2_15;3;G000533
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$IL2_16;3;G000533
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$NFE2L2_02;3;G002918
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$NFE2L2_03;3;G002918
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$NFE2L2_04;3;G002918
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$SERPINE1_06;5;G002147
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYP2C11L_02;4;G037221
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYP2C11L_03;4;G037221
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYP2C11L_04;4;G037221
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYP2C11L_05;4;G037221
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYP2C11L_06;4;G037221
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYTOP_01;6;G000734
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYTOP_02;6;G000734
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYTOP_05;6;G000734
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$GSTA3_04;3;G000749
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$GSTA3_05;3;G000749
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHR$CONS_01;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHR$CONS_03;4
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHRARNT$CONS_01;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;AHRARNT$CONS_02;6
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$CYTOP_03;4;G000498
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;MOUSE$PTGS2_19;5;G004542
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$CYTOP_04;3;G000734
AhR;Ah receptor,AhR,aryl hydrocarbon receptor,dioxin receptor,XRE-binding factor;RAT$UGT1A1_01;4;G005004
AIC2;AIC2;HS$APOA1_02;6;G000203
AIC3;AIC3;HS$APOA1_02;6;G000203
AIC4;AIC4;HS$APOA1_02;6;G000203
AIC5;AIC5;HS$APOA1_02;6;G000203
AID2;AID2;HS$APOA1_01;6;G000203
ANF;albumin negative factor,ANF;ANF$CONS_01;4
ANF;albumin negative factor,ANF;MOUSE$ALBU_12;6;G000464
ANF;albumin negative factor,ANF;MOUSE$ALBU_13;6;G000464
Antp;antennapedia,Antp;AS$TITF1_03;2
Antp;antennapedia,Antp;AS$TITF1_05;2
Antp;antennapedia,Antp;AS$TITF1_06;2
Antp;antennapedia,Antp;AS$TITF1_08;2
Antp;antennapedia,Antp;DROME$ANTP_01;6;G000092
Antp;antennapedia,Antp;DROME$EN_09;6;G000098
Antp;antennapedia,Antp;DROME$EN_10;6;G000098
Antp;antennapedia,Antp;DROME$FTZ_31;6;G000100
Antp;antennapedia,Antp;DROME$UBX_20;6;G000124
Antp;antennapedia,Antp;MOUSE$NCAM_05;2;G000578
AP-1;(Jun)2,AP1,Fos/Jun,PEA1;AP1$CONS;6
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;AP1$CONS;6
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;AS$YAP_01;2
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;SV$SV40_16;2;G000836
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;SV$SV40_17;2;G000836
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;SV$SV40_26;2;G000836
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;SV$SV40_44;2;G000836
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;SV$SV40_65;3;G000836
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$ATR1_01;1;G052330
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$CCP1_02;2;G045167
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$CCP1_03;2;G045167
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$FLR1_01;3;G044947
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$FLR1_02;3;G044947
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$FLR1_03;3;G044947
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$GPX2_02;2;G045633
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$GSH1_02;1;G045741
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$RPN4_03;2;G004443
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TIR1_05;1;G053313
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TRX2_01;4;G000996
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TRX2_02;4;G000996
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TRX2_04;2;G000996
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TRX2_05;2;G000996
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TRX2_07;3;G000996
YAP1p;AP1,PAR1,PDR4,SNQ3,yAP1,YML007W;Y$TSA1_03;2;G045008
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AD$E3_03;4;G000007
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AD$E3_05;3;G000007
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AD$E3_07;1;G000007
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AD$E4_22;3;G000008
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AP1$CONS;1
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_03;4
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_05;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_11;2
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_13;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_16;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_28;4
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_30;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_31;4
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_33;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$AP1_38;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$C-JUN_03;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;AS$CJUN_03;5
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;BKV$BKV_06;4;G000030
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;BKV$BKV_07;4;G000030
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;CHA$GADD153_01;3;G018154
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;CHICK$SCD_01;5;G096391
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HBV$HBVE_08;5;G000158
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HCMV$IE1_19;4;G000165
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HCMV$IE1_20;4;G000165
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HCMV$IE1_29;4;G000165
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HIV1$HIV1_02;3;G000167
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HPV$HPV16_04;4;G000171
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HPV$HPV16_10;4;G000171
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HPV$HPV18_04;6;G000172
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$ADM_02;4;G002882
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$ADM_03;4;G002882
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$ALDOA_01;5;G000189
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$APOE_26;5;G000207
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$BAK1_01;5;G003565
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$BDKRB1_01;3;G003262
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$BG_50;1;G000215
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$BPDE_05;4;G001815
AP-1;(Jun)2,Activating Protein 1,AP1,Fos/Jun;HS$C3AR1_01;5;G003711
